IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
45.143.234.54,22605,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,414,17.78
45.143.234.54,56714,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,425,14.43
147.78.242.122,50001,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,783,13.05
45.143.234.54,38610,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,632,12.88
45.66.131.98,2004,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,738,11.54
103.201.130.51,5205,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,399,9.91
45.66.128.148,35963,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,921,9.32
147.78.243.121,50114,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,554,9.25
103.201.130.77,54869,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,416,9.21
45.66.131.98,2002,TRUE,JIB,DJ,Africa,Djibouti,3258,xTom Pty Ltd,988,9.14
45.66.128.216,2003,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,485,8.98
149.62.44.75,17956,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,437,8.69
195.245.241.114,11473,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,416,8.46
195.245.241.30,12321,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,437,8.10
45.66.128.216,2001,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,601,7.90
45.66.131.11,54544,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,737,7.62
