IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
45.66.128.216,2000,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,598,26.47
45.66.128.216,2003,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,693,24.20
45.149.156.48,58594,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,829,22.59
45.66.128.148,38891,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,789,22.54
195.245.241.30,12345,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,744,21.96
45.66.128.148,10118,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,593,21.60
45.66.128.216,2001,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,660,20.71
147.78.242.122,50001,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,505,20.69
141.98.197.137,7443,TRUE,TPE,TW,Asia Pacific,Taipei,3258,xTom Pty Ltd,694,20.46
45.66.131.98,2004,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,418,19.83
45.149.156.48,58593,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,837,19.35
141.98.197.137,443,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,623,19.08
45.149.156.48,50013,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,819,18.54
147.78.244.151,34847,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,629,18.38
195.245.241.30,12222,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,786,18.03
195.245.241.30,20000,TRUE,SIN,SG,Asia Pacific,Singapore,3258,xTom Pty Ltd,897,17.85
45.159.51.14,34237,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,584,17.68
103.201.130.51,5205,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,672,17.63
147.78.247.110,50012,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,672,17.55
45.66.128.148,51369,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,708,17.43
45.66.128.148,35963,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,752,17.30
85.113.70.214,26600,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,663,17.29
103.150.8.236,31636,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,794,16.96
91.199.209.98,57057,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,601,16.90
193.111.31.133,50896,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,576,16.71
88.214.22.200,34237,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,543,16.65
45.143.235.42,2053,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,671,16.62
45.149.156.126,39431,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,755,16.61
103.150.8.236,31291,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,502,16.51
45.66.129.95,21010,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,657,16.35
147.78.247.204,15416,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,599,16.31
147.78.243.164,57391,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,412,16.29
195.245.242.232,53942,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,401,16.28
62.106.70.197,24543,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,598,16.18
141.98.196.223,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,595,16.17
45.66.217.121,59597,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,401,16.12
45.142.166.145,26720,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,584,16.09
62.106.70.73,31081,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,582,16.05
45.66.131.214,25462,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,636,16.00
45.66.129.147,28388,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,660,15.94
147.78.245.250,16931,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,811,15.93
147.78.247.26,34237,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,805,15.82
