IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
103.20.222.182,35235,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,374,4.53
154.197.92.72,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,401,4.52
149.104.35.78,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,845,4.49
149.104.35.120,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,411,4.49
149.104.32.163,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,919,4.49
149.104.35.125,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,398,4.49
149.104.35.122,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,408,4.49
149.104.35.57,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,486,4.44
149.104.35.239,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,441,4.44
154.197.92.101,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,660,4.41
154.197.92.112,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,292,4.39
149.104.34.84,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,385,4.39
149.104.35.46,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,355,4.37
149.104.35.116,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,471,4.36
154.197.92.237,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,405,4.30
43.229.154.114,25744,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,380,4.29
149.104.35.35,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,324,4.27
149.104.33.120,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,738,4.26
